chi,dp,coh,stab,rad,size,ratio
0.058824,2692.4376740000002,1.5,25.96116,1.2,10,0.5
0.058824,2692.4376740000002,1.5,25.96116,1.2,10,0.5
0.1,303.8941269999999,1.5,23.586737,1.2,10,0.5
0.027027,366.39510700000005,1.5,22.995041,1.2,10,0.5
0.117647,176.89522499999998,1.5,23.572299,1.2,10,0.5
0.076923,204.44779100000005,1.5,21.707144,1.2,10,0.5
0.125,121.021906,1.5,7.87851,1.2,10,0.5
0.019231,2762.6928540000004,1.5,23.661402,1.2,10,0.5
0.019231,2762.6928540000004,1.5,23.661402,1.2,10,0.5
0.125,2762.692854,1.5,8.228684,1.2,10,0.5
0.019231,2762.6928540000004,1.5,23.661402,1.2,10,0.5
0.055556,2655.5252630000005,1.5,7.867442,1.2,10,0.5
0.033333,2795.269721,1.5,17.400715,1.2,10,0.5
0.125,202.64005699999984,1.5,22.523236,1.2,10,0.5
0.02439,350.68929500000013,1.5,22.073446,1.2,10,0.5
0.071429,1168.405246,1.5,15.673489,1.2,10,0.5
0.133333,503.75609099999986,1.5,23.168048,1.2,10,0.5
0.25,239.198572,1.5,15.089425,1.2,10,0.5
0.032258,189.20287499999972,1.5,14.082347,1.2,10,0.5
0.066667,82.96136899999999,1.5,27.103142,1.2,10,0.5
0.021277,196352.682095,1.5,45.098699,1.2,10,0.5
0.021277,196352.682095,1.5,45.098699,1.2,10,0.5
0.021277,196352.682095,1.5,45.098699,1.2,10,0.5
0.03125,216815.677665,1.5,29.142687,1.2,10,0.5
0.021277,196352.682095,1.5,45.098699,1.2,10,0.5
0.052632,218086.270613,1.5,28.691863,1.2,10,0.5
0.153846,213987.278029,1.5,26.736446,1.2,10,0.5
0.142857,212144.309189,1.5,26.326073,1.2,10,0.5
0.052632,218086.270613,1.5,28.691863,1.2,10,0.5
0.05,35466.739283,1.5,22.855653,1.2,10,0.5
0.142857,212144.309189,1.5,26.326073,1.2,10,0.5
0.083333,110797.039827,1.5,24.643527,1.2,10,0.5
0.021277,196352.682095,1.5,45.098699,1.2,10,0.5
0.083333,216565.848559,1.5,29.200827,1.2,10,0.5
0.03125,216815.677665,1.5,29.142687,1.2,10,0.5
0.083333,110797.039827,1.5,24.643527,1.2,10,0.5
0.021277,196352.682095,1.5,45.098699,1.2,10,0.5
0.083333,216565.848559,1.5,29.200827,1.2,10,0.5
0.05,35466.739283,1.5,22.855653,1.2,10,0.5
0.153846,213987.278029,1.5,26.736446,1.2,10,0.5
0.055556,108.91319799999997,1.5,23.942908,1.2,10,0.5
0.052632,1939.514051,1.5,32.391826,1.2,10,0.5
0.052632,1939.514051,1.5,32.391826,1.2,10,0.5
0.052632,1939.514051,1.5,32.391826,1.2,10,0.5
0.107692,5486.839539999999,1.5,26.427051,1.2,10,0.5
0.021505,3041.4998159999996,1.5,18.538761,1.2,10,0.5
0.021505,3041.4998159999996,1.5,18.538761,1.2,10,0.5
0.033333,4467.77866,1.5,19.827052,1.2,10,0.5
0.107692,5486.839539999999,1.5,26.427051,1.2,10,0.5
0.107692,5486.839539999999,1.5,26.427051,1.2,10,0.5
0.052632,4521.980963,1.5,11.501139,1.2,10,0.5
0.04,4795.602093,1.5,9.656015,1.2,10,0.5
0.052632,188.78380100000004,1.5,7.947224,1.2,10,0.5
0.025,617.4800749999999,1.5,14.781033,1.2,10,0.5
0.018519,1497.1753980000003,1.5,28.066905,1.2,10,0.5
0.018519,1497.1753980000003,1.5,28.066905,1.2,10,0.5
0.018519,1497.1753980000003,1.5,28.066905,1.2,10,0.5
0.090909,2171.719666,1.5,18.519633,1.2,10,0.5
0.025,650.7312440000001,1.5,18.140948,1.2,10,0.5
0.023256,683.397131,1.5,8.805728,1.2,10,0.5
0.05,666.96425,1.5,11.70523,1.2,10,0.5
0.025,727.394914,1.5,22.4164,1.2,10,0.5
0.023256,554.7456909999999,1.5,11.575695,1.2,10,0.5
0.026316,1443.043576,1.5,28.283373,1.2,10,0.5
0.026316,1443.043576,1.5,28.283373,1.2,10,0.5
0.026316,1443.043576,1.5,28.283373,1.2,10,0.5
0.066667,142.93904099999986,1.5,24.906509,1.2,10,0.5
0.111111,414.10462699999994,1.5,26.186455,1.2,10,0.5
0.083333,144.12065300000006,1.5,25.959606,1.2,10,0.5
0.166667,465.96829600000007,1.5,14.8658,1.2,10,0.5
0.029412,545.9460989999998,1.5,12.304911,1.2,10,0.5
0.034483,334.06644200000005,1.5,14.452071,1.2,10,0.5
0.028571,1590.067828,1.5,22.450836,1.2,10,0.5
0.058824,1208.132571,1.5,9.363903,1.2,10,0.5
0.1,1235.0010519999998,1.5,13.413242,1.2,10,0.5
0.058824,1229.8293640000002,1.5,10.759693,1.2,10,0.5
0.027778,2736.907571,1.5,20.120482,1.2,10,0.5
0.037037,1235.477356,1.5,22.382805,1.2,10,0.5
0.058824,39.76830199999995,1.5,26.17512,1.2,10,0.5
0.027027,1531.374466,1.5,32.888593,1.2,10,0.5
0.1,1531.374466,1.5,28.880288,1.2,10,0.5
0.066667,251.591457,1.5,13.963304,1.2,10,0.5
0.1,196.77764500000006,1.5,10.088617,1.2,10,0.5
0.028571,878.3617299999996,1.5,8.497207,1.2,10,0.5
0.058824,1214.979381,1.5,5.071434,1.2,10,0.5
0.034483,3642.0419900000006,1.5,21.344913,1.2,10,0.5
0.034483,2231.4247530000002,1.5,25.753583,1.2,10,0.5
0.016667,354.31940400000894,1.5,23.979849,1.2,10,0.5
0.016667,354.31940400000894,1.5,23.979849,1.2,10,0.5
